Pin Nr,Port,H3 Label,H8 Label
1,P02,KEY_R2,APC
2,P03,KEY_R1,LCDRST
3,P04,LCD_CLK,LCDSCLK
4,P05,LCD_SDA,LCDSDA
5,P06,LCD_CD,LCDCS
6,P07,LCD_RST,LCDAO
7,GND,GND,GND
8,P50,SDA24,CODE2
9,P51,DECODE,LAMPOW
10,P52,SDA4819,CODE1
11,P53,SCN4819,POW2822
12,P54,SCK4819,AUDIO_SDA
13,P55,URX_CTRL,AUDIO_SCK
14,P47,TXU_C,BT_ONOFF
15,P46,BEEP,BEEP
16,3V3,3V3,3V3
17,P45,TXV_C,SDA24
18,P44,VRX_CTRL,SCK24
19,P43,POW2822,BACKLED
20,P42,AUDIOSCK,VRX-P
21,P41,APC,URX-P
22,P40,BTLED,BATT-AD
23,P37,SCK5802,BT_LED
24,P36,SDA5802,VTX-P
25,P35,H-LED,UTX-P
26,P34,BATT_AD,KEYIN1
27,P33,BT_ONOFF,KEYIN2
28,P32,KEY_LED,KEYIN3
29,P31,TX_VLED,KEYIN4
30,P30,RX_VLED,KEYIN5
31,P10,RX_ULED,TXLED
32,P11,PTT/RXD232,RXD232/PTT
33,P12,TX_ULED,RXLED
34,P13,TXD232,TXD232
35,P14,CS,KEYOUT4
36,P15,SO,KEYOUT3
37,P16,SCK24,KEYOUT2
38,P17,SCLK,KEYOUT1
39,P20,BT_TXD,BT_RXD
40,P21,BT_RXD,BT_TXD
41,P22,LCD_BLC_PMW,SDA1080
42,P23,KEY_L1,SCK1080
43,P24,KEY_L2,LE1846
44,P25,KEY_L3,SDA1846
45,P26,KEY_R3,SCK1846
46,P27,KEY_R4,DECODE
47,P00,KEY_R5,SQL-AD
48,P01,KEY_R6,VOX-AD
